,id,sample.size,sex,category,subcategory,unit,group_name,build,author,year,population,trait,pmid,ontology,filename,nsnp,delimiter,header,mr,snp_col,chr_col,pos_col,ea_col,oa_col,eaf_col,beta_col,se_col,pval_col
1,med-d-Acetate_agetert1,37113,Males and females,Continuous,agetert1,INT,public,HG19/GRCh37,Bell JA,2021,European,Acetate,NA,NA,acetate_int_agetert1_imputed.txt.gz,12321875,tab,TRUE,1,0,1,2,4,5,6,10,11,15
2,med-d-Acetate_agetert2,38774,Males and females,Continuous,agetert2,INT,public,HG19/GRCh37,Bell JA,2021,European,Acetate,NA,NA,acetate_int_agetert2_imputed.txt.gz,12321875,tab,TRUE,1,0,1,2,4,5,6,10,11,15
3,med-d-Acetate_agetert3,39159,Males and females,Continuous,agetert3,INT,public,HG19/GRCh37,Bell JA,2021,European,Acetate,NA,NA,acetate_int_agetert3_imputed.txt.gz,12321875,tab,TRUE,1,0,1,2,4,5,6,10,11,15
4,med-d-Acetoacetate_agetert1,37127,Males and females,Continuous,agetert1,INT,public,HG19/GRCh37,Bell JA,2021,European,Acetoacetate,NA,NA,acetoacetate_int_agetert1_imputed.txt.gz,12321875,tab,TRUE,1,0,1,2,4,5,6,10,11,15
5,med-d-Acetoacetate_agetert2,38784,Males and females,Continuous,agetert2,INT,public,HG19/GRCh37,Bell JA,2021,European,Acetoacetate,NA,NA,acetoacetate_int_agetert2_imputed.txt.gz,12321875,tab,TRUE,1,0,1,2,4,5,6,10,11,15
6,med-d-Acetoacetate_agetert3,39164,Males and females,Continuous,agetert3,INT,public,HG19/GRCh37,Bell JA,2021,European,Acetoacetate,NA,NA,acetoacetate_int_agetert3_imputed.txt.gz,12321875,tab,TRUE,1,0,1,2,4,5,6,10,11,15
7,med-d-Acetone_agetert1,37127,Males and females,Continuous,agetert1,INT,public,HG19/GRCh37,Bell JA,2021,European,Acetone,NA,NA,acetone_int_agetert1_imputed.txt.gz,12321875,tab,TRUE,1,0,1,2,4,5,6,10,11,15
8,med-d-Acetone_agetert2,38784,Males and females,Continuous,agetert2,INT,public,HG19/GRCh37,Bell JA,2021,European,Acetone,NA,NA,acetone_int_agetert2_imputed.txt.gz,12321875,tab,TRUE,1,0,1,2,4,5,6,10,11,15
9,med-d-Acetone_agetert3,39164,Males and females,Continuous,agetert3,INT,public,HG19/GRCh37,Bell JA,2021,European,Acetone,NA,NA,acetone_int_agetert3_imputed.txt.gz,12321875,tab,TRUE,1,0,1,2,4,5,6,10,11,15
10,med-d-Ala_agetert1,37127,Males and females,Continuous,agetert1,INT,public,HG19/GRCh37,Bell JA,2021,European,Alanine,NA,NA,ala_int_agetert1_imputed.txt.gz,12321875,tab,TRUE,1,0,1,2,4,5,6,10,11,15
11,med-d-Ala_agetert2,38784,Males and females,Continuous,agetert2,INT,public,HG19/GRCh37,Bell JA,2021,European,Alanine,NA,NA,ala_int_agetert2_imputed.txt.gz,12321875,tab,TRUE,1,0,1,2,4,5,6,10,11,15
12,med-d-Ala_agetert3,39163,Males and females,Continuous,agetert3,INT,public,HG19/GRCh37,Bell JA,2021,European,Alanine,NA,NA,ala_int_agetert3_imputed.txt.gz,12321875,tab,TRUE,1,0,1,2,4,5,6,10,11,15
13,med-d-Albumin_agetert1,37120,Males and females,Continuous,agetert1,INT,public,HG19/GRCh37,Bell JA,2021,European,Albumin,NA,NA,albumin_int_agetert1_imputed.txt.gz,12321875,tab,TRUE,1,0,1,2,4,5,6,10,11,15
14,med-d-Albumin_agetert2,38776,Males and females,Continuous,agetert2,INT,public,HG19/GRCh37,Bell JA,2021,European,Albumin,NA,NA,albumin_int_agetert2_imputed.txt.gz,12321875,tab,TRUE,1,0,1,2,4,5,6,10,11,15
15,med-d-Albumin_agetert3,39164,Males and females,Continuous,agetert3,INT,public,HG19/GRCh37,Bell JA,2021,European,Albumin,NA,NA,albumin_int_agetert3_imputed.txt.gz,12321875,tab,TRUE,1,0,1,2,4,5,6,10,11,15
16,med-d-ApoA1_agetert1,37127,Males and females,Continuous,agetert1,INT,public,HG19/GRCh37,Bell JA,2021,European,Apolipoprotein A1,NA,NA,apoa1_int_agetert1_imputed.txt.gz,12321875,tab,TRUE,1,0,1,2,4,5,6,10,11,15
17,med-d-ApoA1_agetert2,38784,Males and females,Continuous,agetert2,INT,public,HG19/GRCh37,Bell JA,2021,European,Apolipoprotein A1,NA,NA,apoa1_int_agetert2_imputed.txt.gz,12321875,tab,TRUE,1,0,1,2,4,5,6,10,11,15
18,med-d-ApoA1_agetert3,39167,Males and females,Continuous,agetert3,INT,public,HG19/GRCh37,Bell JA,2021,European,Apolipoprotein A1,NA,NA,apoa1_int_agetert3_imputed.txt.gz,12321875,tab,TRUE,1,0,1,2,4,5,6,10,11,15
19,med-d-ApoB_agetert1,37127,Males and females,Continuous,agetert1,INT,public,HG19/GRCh37,Bell JA,2021,European,Apolipoprotein B,NA,NA,apob_int_agetert1_imputed.txt.gz,12321875,tab,TRUE,1,0,1,2,4,5,6,10,11,15
20,med-d-ApoB_agetert2,38784,Males and females,Continuous,agetert2,INT,public,HG19/GRCh37,Bell JA,2021,European,Apolipoprotein B,NA,NA,apob_int_agetert2_imputed.txt.gz,12321875,tab,TRUE,1,0,1,2,4,5,6,10,11,15
21,med-d-ApoB_agetert3,39167,Males and females,Continuous,agetert3,INT,public,HG19/GRCh37,Bell JA,2021,European,Apolipoprotein B,NA,NA,apob_int_agetert3_imputed.txt.gz,12321875,tab,TRUE,1,0,1,2,4,5,6,10,11,15
22,med-d-ApoB_by_ApoA1_agetert1,37127,Males and females,Continuous,agetert1,INT,public,HG19/GRCh37,Bell JA,2021,European,Ratio of apolipoprotein B to apolipoprotein A1,NA,NA,apob_by_apoa1_int_agetert1_imputed.txt.gz,12321875,tab,TRUE,1,0,1,2,4,5,6,10,11,15
23,med-d-ApoB_by_ApoA1_agetert2,38784,Males and females,Continuous,agetert2,INT,public,HG19/GRCh37,Bell JA,2021,European,Ratio of apolipoprotein B to apolipoprotein A1,NA,NA,apob_by_apoa1_int_agetert2_imputed.txt.gz,12321875,tab,TRUE,1,0,1,2,4,5,6,10,11,15
24,med-d-ApoB_by_ApoA1_agetert3,39167,Males and females,Continuous,agetert3,INT,public,HG19/GRCh37,Bell JA,2021,European,Ratio of apolipoprotein B to apolipoprotein A1,NA,NA,apob_by_apoa1_int_agetert3_imputed.txt.gz,12321875,tab,TRUE,1,0,1,2,4,5,6,10,11,15
25,med-d-bOHbutyrate_agetert1,36669,Males and females,Continuous,agetert1,INT,public,HG19/GRCh37,Bell JA,2021,European,3-Hydroxybutyrate,NA,NA,bohbutyrate_int_agetert1_imputed.txt.gz,12321875,tab,TRUE,1,0,1,2,4,5,6,10,11,15
